"partner_name";"offer_name";"category";"percents_";"selltype";"city_name";"comment";"enddate"
Teana;Teanа;Парфюмерия и косметика;10;Online;;"Предложение действительно только в интернет-магазине teana-labs.ru. Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «ТД ТИАНА"". Оператор АО «Райффайзенбанк».";2021-10-01 03:00:00
Prime Travel ;Prime Travel;Путешествия;5;Online;;Кэшбэк – возврат средств.Сроки проведения акции: 16.09.2020 – 31.12.2020. Акция действует по всей территории РФ. Кэшбэк начисляется за любое количество покупок в течение срока акции. Срок выплат кэшбэка - в течение 60 рабочих дней от последнего числа месяца, к который совершена покупка. ООО «Прайм Тревел»;2020-12-31 03:00:00
Special Travel Club;Special Travel Club;Путешествия;12;Online;;"";2020-12-31 03:00:00
Hotels.com;Hotels.com;Путешествия;10;"";;Промокод действует только на отели, участвующие в программе Best Price Guarantee. ;2020-12-31 03:00:00
Яндекс.Плюс;Яндекс.Плюс;Досуг и развлечения;;Online;;"90 дней подписки Яндекс.Плюс. Активация по ссылке https://plus.yandex.ru/gift?code=RAIFPLUS. Требуется указание данных банковской карты. Предложение до 31 декабря  2020 г. только для новых пользователей, ранее не оформлявших подписку Яндекс.Плюс. После бесплатного периода автопродление 199 руб/мес. Подробные условия использования промокодов: https://yandex.ru/support/plus/promocode.html. Условия подписки Яндекс.Плюс https://yandex.ru/legal/yandex_plus_conditions. Правила программы лояльности «Яндекс.Плюс Кэшбэк» http://yandex.ru/legal/plus_loyalty";2020-12-31 03:00:00
Rentalcars.com;Rentalcars.com;Аренда авто и транспорта;10;"";;Скидка не предоставляется при бронировании автомобиля в мобильном приложении. Скидка предоставляется только при переходе на сайт партнера по указанным ссылкам ниже, а также только при оплате картой Райффайзенбанка. Просим обратить внимание, что после перехода на сайт партнера, сверху присутствует логотип Райффайзенбанка. Если логотип отсутствует, рекомендуем обновить страницу нажатием клавиш Сtrl + F5 и повторить попытку. Поле для применения промо-кода присутствует на моменте оплаты бронирования (шаг 4 из 5).;2020-12-31 03:00:00
Комус;Комус;Интернет-магазины;6;Online;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Кэшбэк 6% выплачивается новым клиентам за первую покупку при условии оплаты на сайте. Организатор акции ООО «Комус». Оператор АО «Райффайзенбанк»;2020-12-31 03:00:00
Gett;Gett;Услуги и сервисы;15;Online;;Кэшбэк выплачивается только новым клиентам Gett, ранее не совершавших покупок.Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «ГетТакси Рус». Оператор АО «Райффайзенбанк»;2020-12-31 03:00:00
ИЛЬ ДЕ БОТЭ ;ИЛЬ ДЕ БОТЭ;Парфюмерия и косметика;25;Retail;;Список брендов, участвующих в акции, просьба уточнять у менеджера магазина.;2020-12-31 03:00:00
ВкусВилл Готовит;ВкусВилл Готовит;Интернет-магазины;5;Online;;Сроки проведения акции: 24.09.2020 – 24.11.2020. Кэшбэк – возврат средств. Акция проводится в городах Белгород, Брянск, Владимир, Волгоград, Воронеж, Иваново, Калуга, Кострома, Курск, Липецк, Нижний Новгород, Орел, Рязань, Саранск, Саратов, Смоленск, Тамбов, Тверь, Тула, Ульяновск, Чебоксары, Ярославле. Кэшбэк выплачивается в течение 60 рабочих дней от даты завершения акции. ООО «Вкусвилл».;2020-11-24 03:00:00
Аудиомания;Аудиомания;Бытовая техника и электроника;5;Retail;;Кэшбэк выплачивается только новым клиентам Аудиомании, ранее не совершавших покупок. Кэшбэк выплачивается в течение 60 дней от даты оплаты.Организатор акции ИП Назаров Д.Б. Оператор АО «Райффайзенбанк».;2020-12-31 03:00:00
FitPlace;FitPlace;Спорт;7;Online;;Кэшбэк — возврат средств. Акция проводится во всех субъектах Российской Федерации. Сроки проведения акции: 15.10.20 — 31.12.20. Кэшбэк выплачивается в течение 60 дней от даты оплаты покупки. Организатор акции — ООО «ГРАНД». Оператор — АО «Райффайзенбанк».;2020-12-31 03:00:00
Олант;Олант;Все для детей;10;"";;"";2020-12-01 03:00:00
"585*ЗОЛОТОЙ";"585*ЗОЛОТОЙ";Ювелирные украшения и часы;7;Retail;;Кэшбэк — возврат средств. Акция проводится во всех субъектах Российской Федерации. Сроки проведения акции: 15.10.20 — 20.11.20. Кэшбэк выплачивается в течение 60 дней от даты оплаты покупки. Организатор акции — ООО «Регент Голд». Оператор — АО «Райффайзенбанк».;2020-11-20 03:00:00
Шефмаркет;Шефмаркет;Продукты питания;25;Online;Москва;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «Шефмаркет». Оператор АО «Райффайзенбанк»;2020-11-30 03:00:00
The Furnish;The Furnish;Товары для дома и интерьера;10;Online;;Кэшбэк – возврат средств. Кэшбэк не распространяется на товары со скидками или приобретенные по другим акциям и Промокодам. Выплата кэшбэка осуществляется в течение 60 рабочих дней со дня совершения покупки. Срок проведения акции: 01.10.20 – 01.04.20. Кэшбэк начисляется за покупки, совершенные только по картам Райффайзенбанка. Организатор акции ООО «ФЕРНИШ». Оператор АО «Райффайзенбанк».;2021-03-31 03:00:00
О'КЕЙ;О'КЕЙ;Продукты питания;10;Online;;Акция действует с 1 по 30 ноября 2020 года в Москве, Санкт-Петербурге, Московской и Ленинградской областях.*Максимальный размер скидки составляет 1000 рублей. Скидка не распространяется на алкогольную и акционную продукцию. Промокод можно применить только один раз.;2020-11-30 03:00:00
Мария ;Мария;Товары для дома и интерьера;7;Online;;"";2020-12-31 03:00:00
Ostrovok.ru;Ostrovok.ru;Путешествия;7;Retail;;Кэшбэк начисляется за каждую покупку, совершенную в период акции и выплачивается в течение 60 дней от даты совершения покупки. Бронирования не подлежат отмене или обмену. Организатор акции – ООО «Бронирование гостиниц». Оператор – АО «Райффайзенбанк»;2020-12-31 03:00:00
Reima;REIMA;Все для детей;5;Online;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «Рейма». Оператор АО «Райффайзенбанк».;2022-12-31 03:00:00
Залипаки;ЗАЛИПАКИ;Все для детей;20;Online;;"";2020-12-31 03:00:00
Lassie;lassie;Все для детей;7;Online;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «Рейма». Оператор АО «Райффайзенбанк».;2022-12-31 03:00:00
Чевостик;Чевостик;Образование и курсы;15;Online;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ИП Томисонец Д.А. Оператор АО «Райффайзенбанк»;2021-08-31 03:00:00
City Business School;City Business School;Образование и курсы;15;Online;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции АНО ДПО «Сити Бизнес Скул». Оператор АО «Райффайзенбанк»;2021-01-31 03:00:00
Уральские авиалинии;Уральские авиалинии;Путешествия;5;Online;;Скидка не распространяется на субсидированные тарифы. Дополнительно можно оплатить авиабилет бонусами программы лояльности «Крылья».;2020-12-31 03:00:00
SF Education;SF Education;Образование и курсы;5;Online;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «Современные формы образования». Оператор АО «Райффайзенбанк».;2021-01-31 03:00:00
Bonotox;Bonotox;Парфюмерия и косметика;10;Online;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «БОНОТОКС РУС». Оператор АО «Райффайзенбанк».;2020-12-31 03:00:00
Avis;AVIS;Аренда авто и транспорта;10;"";;"";2022-12-31 03:00:00
Uremont;Uremont;Услуги и сервисы;12;Online;;"Кэшбэк – возврат средств. Сроки проведения акции: 20.08.2020 – 31.12.2020. Акция действует по всей территории РФ. Кэшбэк начислется за все покупки в течение срока акции. Срок выплат кэшбэка - в течение 60 рабочих дней от последней даты месяца, в который была совершена покупка. Организатор Акции ООО ""Мигас.";2020-12-31 03:00:00
Барбершоп «Я»;Барбершоп «Я»;Салоны красоты и SPA;30;Retail;;Акция действует в городе Москве. Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ИП Белякова Н.А. Оператор АО «Райффайзенбанк»;2021-08-31 03:00:00
Fix Travel;Fix Travel;Путешествия;3;Online;;Кэшбэк выплачивается в течение 60 рабочих дней от последнего дня месяца, в который совершена покупка. Организатор акции ООО «ТК Тревел Таймс». Оператор АО «Райффайзенбанк».;2021-01-31 03:00:00
Попутный груз;Попутный груз;Услуги и сервисы;5;Retail;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «ПОПУТНЫЙ ГРУЗ». Оператор АО «Райффайзенбанк»;2021-08-31 03:00:00
Marc & Andr?;Marc & Andre;Одежда, обувь, аксессуары;10;Online;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «Трейд Систем». Оператор АО «Райффайзенбанк».;2020-11-30 03:00:00
Mybook;Mybook;Досуг и развлечения;15;Online;;Кэшбэк 15% выплачивается только за первую покупку клиентам, ранее не совершавших покупок на сайте mybook.ru. Кэшбэк выплачивается в течение 60 дней от даты оплаты. Предложение не суммируется с другими акциями и предложениями. Организатор акции ООО «Живая Библиотека». Оператор АО «Райффайзенбанк»;2020-12-31 03:00:00
Tickets.ru;Tickets.ru;Путешествия;3;Online;;Акция действует по всей РФ. Кэшбэк выплачивается в течение 60 дней от последнего числа месяца в котором  была произведена оплата. Организатор акции ООО «Тикетс.ру». Оператор АО «Райффайзенбанк»;2020-12-31 03:00:00
Okko;Okko;Досуг и развлечения;;Online;;В связи с политикой компании Apple активация промокода на iOS невозможна. Промокод даёт 45 дней доступа к подписке «Оптимум» при отсутствии на момент активации промокода активной подписки «Оптимум» или «Премиум». В день завершения 45-дневного периода за использование подписки будет списана абонентская плата в соответствии с Пользовательским соглашением Сервиса Okko и Правилами акции. Организатор: ООО «Окко», ОГРН 1167847381130, адрес: 197374, г. Санкт-Петербург, ул. Савушкина, д.126, лит.Б, пом. 53-Н. Сервис Okko 18+. Правила акции по ссылке (http://terms.okko.tv/BANKS_OPTIMUM_45_RAIFFEISEN_2020_09.pdf).;2020-11-07 03:00:00
INMYROOM;INMYROOM;Товары для дома и интерьера;5;"";;Скидка не распространяется на товары на распродаже, не суммируются с другими акциями.;2020-12-31 03:00:00
iHerb ;iHerb ;Интернет-магазины;5;Online;;"";2021-03-11 03:00:00
Медси;МЕДСИ;Медицинские товары и услуги;8;Online;Петергоф;Сроки проведения акции — по 31.12.2020. Срок выплаты кэшбэка в течение 90 дней от даты совершения покупки. Первой считается покупка при отсутствии покупок в течение года до даты оплаты в сети клиник МЕДСИ. Акция проводится в Москве и Московской области, Санкт-Петербурге, Волгограде, Брянске, Перми. Организаторы: АО «Группа компаний «Медси», лиц. ЛО-77-01-016728 от 25.09.2018, и ООО «Медси Санкт-Петербург», лиц: № 78-01-004423 от 21.02.2014.;2020-12-31 03:00:00
Контраст;Контраст;Услуги и сервисы;10;"";Москва;"";2020-12-01 03:00:00
Netprint ДР; Netprint ДР;Цветы и подарки;;Online;;"";2021-05-11 03:00:00
Club Med;Club Med;Путешествия;5;Online;;Кэшбэк — возврат средств. Выплата кэшбэка осуществляется в течение 60 календарных дней от последней даты месяца, в который совершена покупка. Акция распространяется на покупки клиентов Райффайзенбанка, не совершавших ранее покупок в Club Med. Выплаты кэшбэка одному участнику акции ограничиваются 15000 руб. При отмене бронирования кэшбэк будет удерживаться компанией Club Med. ООО «Клаб Мед Раша»;2020-12-31 03:00:00
ВкусВилл Готовит;ВкусВилл Готовит;Продукты питания;1000;Online;Москва;Сроки проведения акции: 07.09.2020 – 07.11.2020. Кэшбэк – возврат средств. Акция проводится в Москве и области, Санкт-Петербурге. Кэшбэк выплачивается  в течение 60 рабочих дней от даты завершения акции. ООО «Вкусвилл».;2020-11-07 03:00:00
MY BIG LOVE wine bar;MY BIG LOVE wine bar;Рестораны, кафе и бары;10;Retail;Москва;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции ООО «Виньярд Бар». Оператор АО «Райффайзенбанк»;2021-07-31 03:00:00
Ренессанс Страхование ;Ренессанс Страхование;Услуги и сервисы;20;Online;;Скидка действительна при обращении клиентов по контактам, указанным в настоящем предложении. Данная скидка не будет применима к оформлению договоров страхования через иные каналы продаж. Скидка действительна только при оформлении нового договора страхования. Скидка не суммируется с другими скидками и акциями «Ренессанс страхование» при заключении договора страхования. Под подарком подразумевается выдача клиенту оформившему полис каско топливной карты номиналом 2000 руб. для использования на АЗС Газпромнефть. Для получения и активации топливной карты клиенту приходит смс уведомление на контактный номер мобильного телефона по истечению 14 дней с момента покупки полиса каско.;2021-02-10 03:00:00
Storytel ;Storytel;Досуг и развлечения;20;Online;;"Кэшбэк выплачивается в течение 60 дней от даты оплаты. Организатор акции - ООО ""Сторител"". Оператор - АО ""Райффайзенбанк""";2021-01-01 03:00:00
Helly Hansen;HELLY HANSEN;Одежда, обувь, аксессуары;7;Retail;;"";2022-12-31 03:00:00
Домовенок;Домовенок;Услуги и сервисы;20;Online;Подольск;Скидка не распространяется на генеральную уборку, уборку после ремонта и клиентов обслуживающихся по графику;2022-12-31 03:00:00
Whirlpool VIP;Whirpool VIP;Бытовая техника и электроника;25;"";;Скидка действует только при вводе промокода вручную.;2020-12-01 03:00:00
Русский букет;Русский букет;Цветы и подарки;5;"";;"";2020-12-31 03:00:00
Qlean.Стирка;Qlean.Стирка;Услуги и сервисы;10;Online;;Кэшбэк 10% выплачивается только за первую покупку клиентам, ранее не совершавшим покупок на сайте qlean.ru/stirka. Акция действует в Москве. Кэшбэк — возврат средств. Выплата кэшбэка осуществляется в течение 60 рабочих дней от даты завершения акции. Кэшбэк начисляется за покупки, совершенные только по картам Райффайзенбанка. Организатор акции — ООО «ЧИСТЫЕ ВЕЩИ». Оператор — АО «Райффайзенбанк»;2020-12-31 03:00:00
Клик Сервис;Клик Сервис;Услуги и сервисы;25;Online;;Кэшбэк выплачивается в течение 60 дней от даты оплаты. Предложение не суммируется с другими акциями и предложениями. Организатор акции ООО «Клик Сервис». Оператор АО «Райффайзенбанк»;2020-12-15 03:00:00
